|cash|mkt|feature_max_mkt|feature_prev_1_max_mkt|feature_prev_2_max_mkt
0|0.0|38270.01994|39117.02032|39117.02032|39117.02032
1|0.0|66349.290221|67741.755819|68312.124632|68312.124632
2|-2.9103830456733704e-11|158451.811264|158451.811264||
3|0.0|121402.168837|121402.168837|119998.215799|119998.215799
4|0.0|175384.618289|175776.304156|175776.304156|175776.304156
5|0.0|77923.987559|77923.987559|77079.901366|77079.901366
6|0.0|32552.630317|33155.051668|33155.051668|33155.051668
7|0.0|132227.433638|132227.433638|129957.256333|129957.256333
8|0.0|36240.49|36240.49|35959.05|35959.05
9|0.0|261962.11|261962.11|261412.55|261412.55
10|0.0|4342.825747|4342.825747|4110.098544|4110.098544
11|7.275957614183426e-12|55231.6444|55231.6444|69703.99174|69703.99174
12|-2.9103830456733704e-11|139312.83|139312.83|137205.35|137205.35
13|0.0|78194.41232|78194.41232|76700.96885|76700.96885
14|0.0|878.77064|878.77064|836.57427|836.57427
15|0.0|31729.5461|31729.5461|30684.88928|30684.88928
16|0.0|156398.31596|156398.31596|155098.17742|155098.17742
17|-1.1641532182693479e-10|642211.28924|642211.28924||
18|0.0|148278.4912|148278.4912|145487.6031|145487.6031
19|0.0|2830.14331|2830.14331|2840.17941|2840.17941
20|0.0|84219.5972|84219.5972|82546.59568|82546.59568
21|0.0|373.3604|373.3604|313.7176|313.7176
22|0.0|313770.52385|313770.52385|311779.90635|311779.90635
23|0.0|125925.92791|125925.92791|124793.3391|124793.3391
24|0.0|389384.99467|398311.67659|398311.67659|398311.67659
25|0.0|80648.88|80648.88|79226.53|79226.53
26|0.0|11989.63|11989.63||
27|0.0|20430.91|20430.91|20430.7|20430.7
28|0.0|320.77296|320.77296||
29|0.0|530208.06795|530208.06795||
30|19.64999999999418|107078.84773|107078.84773|106596.90398|106596.90398
31|0.0|32719.6672|32793.081|32793.081|32793.081
32|0.0|5839.58411|5839.58411|5499.48527|5499.48527
33|0.0|93609.19|93609.19|91423.875|91423.875
34|0.0|120338.14119|120338.14119|117932.33992|117932.33992
35|0.0|263838.40765|263838.40765|263676.58042|263676.58042
36|0.0|533201.04785|533201.04785|524567.45221|524567.45221
37|0.0|62198.71002|62198.71002|60260.26422|60260.26422
38|0.0|29367.99|29493.64908|29493.64908|29493.64908
39|0.0|11910.7158|11910.7158||
40|0.0|212631.49048|214589.99821|214589.99821|214589.99821
41|0.0|75542.64173|75820.29721|76062.63148|76062.63148
42|0.0|3705.0074|3705.0074|3663.53988|3663.53988
43|0.0|180585.64933|181234.68004|181234.68004|181234.68004
44|4453.290000000008|82613.7439|88821.83327|90350.69605|90350.69605
45|0.0|179723.73|179723.73||
46|0.0|225583.6361|225583.6361|224633.3516|224633.3516
47|0.0|59263.88811|59263.88811|56187.96456|56187.96456
48|0.0|499863.1|499863.1|499859.28|499859.28
49|0.0|3606.56795|3606.56795|3468.06075|3468.06075
50|0.0|15226.46515|15226.46515|14937.75911|14937.75911
51|0.0|44886.5057|44886.5057|43202.09664|43202.09664
52|0.0|19023.23735|19023.23735|18753.70194|18753.70194
53|0.0|48189.55512|48189.55512||
54|0.0|407850.2016|410822.98552|419337.67687|419337.67687
55|119.8900000001304|1377968.90394|1377968.90394|1320541.6949|1320541.6949
56|0.0|17083.69632|17083.69632|16653.4368|16653.4368
57|0.0|165891.74|165891.74|156139.01|156139.01
58|0.0|13133.51361|13133.51361|12986.07295|12986.07295
59|2.9103830456733704e-11|139270.66536|139270.66536|137613.19157|137613.19157
60|25114.01000000024|4103444.24867|4103444.24867||
61|0.0|29753.31035|29753.31035|29548.84476|29548.84476
62|0.0|12319.307704|12319.307704|11912.132112|11912.132112
63|0.0|7074.32|7074.32|6174.32|6174.32
64|0.0|2811.04768|2811.04768|2666.80992|2666.80992
65|6.310000000026776|175021.755|175021.755|174065.01|174065.01
66|-7.275957614183426e-12|54788.52396|54788.52396|53278.14975|53278.14975
67|0.0|407908.60744|407908.60744|400482.19326|400482.19326
68|0.0|18365.87222|18365.87222|18219.50284|18219.50284
69|0.0|1533.30508|1533.30508|1505.91866|1505.91866
70|0.0|10000.2|10000.2|8800.14|8800.14
