acct|period|cash|mkt|feature_max_mkt|feature_prev_1_max_mkt|feature_prev_2_max_mkt
00000000000101359091|2021-06|0.0|38694.06345|38694.06345|38596.92187|38596.92187
00000000000101359091|2021-07|0.0|38642.03913|38694.06345|38694.06345|38694.06345
00000000000101359091|2021-08|0.0|39117.02032|39117.02032|38694.06345|38694.06345
00000000000101359091|2021-09|0.0|38270.01994|39117.02032|39117.02032|39117.02032
00000000000101359091|2021-10|0.0|0.0|39117.02032|39117.02032|39117.02032
00002674368|2021-06|0.0|67741.755819|68312.124632|68312.124632|68312.124632
00002674368|2021-07|0.0|67221.744881|68312.124632|68312.124632|68312.124632
00002674368|2021-08|0.0|66349.290221|67741.755819|68312.124632|68312.124632
00002674368|2021-09|0.0|64110.292802|67221.744881|67741.755819|67741.755819
00002674368|2021-10|0.0|63532.235485|66349.290221|67221.744881|67221.744881
000DAX60196|2021-06|0.0|169727.735606|171066.612791|171066.612791|171066.612791
000DAX60196|2021-07|0.0|167467.720196|171066.612791|171066.612791|171066.612791
000DAX60196|2021-08|0.0|168926.090504|169727.735606|171066.612791|171066.612791
000DAX60196|2021-09|0.0|161157.671054|168926.090504|169727.735606|169727.735606
000DAX60196|2021-10|0.0|166217.921632|168926.090504|168926.090504|168926.090504
001F2047533|2021-06|0.0|59678.426971|59678.426971|59413.81242|59413.81242
001F2047533|2021-07|0.0|60128.102071|60128.102071|59678.426971|59678.426971
001F2047533|2021-08|0.0|61410.897559|61410.897559|60128.102071|60128.102071
001F2047533|2021-09|0.0|58656.989906|61410.897559|61410.897559|61410.897559
001F2047533|2021-10|0.0|61412.104494|61412.104494|61410.897559|61410.897559
01102479674|2021-06|0.0|126704.869705|126704.869705|126311.151801|126311.151801
01102479674|2021-07|0.0|126776.26111|126776.26111|126704.869705|126704.869705
01102479674|2021-08|0.0|128156.128425|128156.128425|126776.26111|126776.26111
01102479674|2021-09|0.0|123932.292647|128156.128425|128156.128425|128156.128425
01102479674|2021-10|0.0|127823.227983|128156.128425|128156.128425|128156.128425
029018585A|2021-06|0.0|173984.425021|174307.994632|174307.994632|174307.994632
029018585A|2021-07|0.0|173619.041198|174307.994632|174307.994632|174307.994632
029018585A|2021-08|0.0|173279.180356|173984.425021|174307.994632|174307.994632
029018585A|2021-09|0.0|167551.44767|173619.041198|173984.425021|173984.425021
029018585A|2021-10|0.0|172062.363126|173279.180356|173619.041198|173619.041198
03200778858|2021-06|0.0|76950.599237|77079.901366|77079.901366|77079.901366
03200778858|2021-07|0.0|76982.301506|77079.901366|77079.901366|77079.901366
03200778858|2021-08|0.0|77923.987559|77923.987559|77079.901366|77079.901366
03200778858|2021-09|0.0|74737.655048|77923.987559|77923.987559|77923.987559
03200778858|2021-10|0.0|77506.145089|77923.987559|77923.987559|77923.987559
03205775995|2021-06|0.0|32780.900165|32780.900165|32601.152329|32601.152329
03205775995|2021-07|0.0|33155.051668|33155.051668|32780.900165|32780.900165
03205775995|2021-08|0.0|32552.630317|33155.051668|33155.051668|33155.051668
03205775995|2021-09|0.0|31301.274042|33155.051668|33155.051668|33155.051668
03205775995|2021-10|0.0|31983.549066|32552.630317|33155.051668|33155.051668
0520005927|2021-06|0.0|38656.8|38656.8|38116.5|38116.5
0520005927|2021-07|0.0|39268.18|39268.18|38656.8|38656.8
0520005927|2021-08|0.0|40330.03|40330.03|39268.18|39268.18
0520005927|2021-09|0.0|38563.95|40330.03|40330.03|40330.03
0520005927|2021-10|0.0|40955.1|40955.1|40330.03|40330.03
1004798585|2021-06|0.0|136926.642263|136926.642263|136256.503537|136256.503537
1004798585|2021-07|0.0|137764.648092|137764.648092|136926.642263|136926.642263
1004798585|2021-08|0.0|139785.021595|139785.021595|137764.648092|137764.648092
1004798585|2021-09|0.0|133954.808444|139785.021595|139785.021595|139785.021595
1004798585|2021-10|0.0|138598.484999|139785.021595|139785.021595|139785.021595
1022822353|2021-06|0.0|263483.57|263483.57|262930.8|262930.8
1022822353|2021-07|0.0|263987.07|263987.07|263483.57|263483.57
1022822353|2021-08|0.0|264525.21|264525.21|263987.07|263987.07
1022822353|2021-09|0.0|265030.72|265030.72|264525.21|264525.21
1022822353|2021-10|0.0|265520.28|265520.28|265030.72|265030.72
10272191|2021-06|0.0|5063.03235|5063.03235|4888.88503|4888.88503
10272191|2021-07|0.0|5255.971962|5255.971962|5063.03235|5063.03235
10272191|2021-08|0.0|5509.754437|5509.754437|5255.971962|5255.971962
10272191|2021-09|0.0|5445.88644|5509.754437|5509.754437|5509.754437
10272191|2021-10|0.0|5844.892877|5844.892877|5509.754437|5509.754437
10349384|2021-06|7.275957614183426e-12|55231.6444|55231.6444|54886.07737|54886.07737
10349384|2021-07|-7.275957614183426e-12|55546.97728|55546.97728|55231.6444|55231.6444
10349384|2021-08|0.0|55758.16458|55758.16458|55546.97728|55546.97728
10349384|2021-09|0.0|54903.11344|55758.16458|55758.16458|55758.16458
10349384|2021-10|0.0|55183.01637|55758.16458|55758.16458|55758.16458
10352707|2021-06|0.0|148000.25|148000.25|146061.85|146061.85
10352707|2021-07|0.0|148045.16|148045.16|148000.25|148000.25
10352707|2021-08|0.0|150346.35|150346.35|148045.16|148045.16
10352707|2021-09|188.20000000001164|145557.76|150346.35|150346.35|150346.35
10352707|2021-10|0.0|149999.93|150346.35|150346.35|150346.35
10363888|2021-06|0.0|5152.37058|5152.37058|5132.35884|5132.35884
10363888|2021-07|0.0|5191.25947|5191.25947|5152.37058|5152.37058
10363888|2021-08|0.0|5211.28805|5211.28805|5191.25947|5191.25947
10363888|2021-09|0.0|5218.73858|5218.73858|5211.28805|5211.28805
