period|acct|code|mkt|pos|cash|feature_max_mkt|feature_prev_1_max_mkt|feature_prev_2_max_mkt|cash_mov|cash_mov_roll_3|feature_cash_sig_3
2021-01|00000000000101359091|3MS|35591.75464|35591.75464|0.0|35591.75464|||0.0|0.0|0.0
2021-02|00000000000101359091|3MS|36512.55568|36512.55568|0.0|36512.55568|35591.75464|35591.75464|0.0|0.0|0.0
2021-03|00000000000101359091|3MS|37102.15207|37102.15207|0.0|37102.15207|36512.55568|36512.55568|0.0|0.0|0.0
2021-04|00000000000101359091|3MS|37975.7402|37975.7402|0.0|37975.7402|37102.15207|37102.15207|0.0|0.0|0.0
2021-05|00000000000101359091|3MS|38596.92187|38596.92187|0.0|38596.92187|37975.7402|37975.7402|0.0|0.0|0.0
2021-06|00000000000101359091|3MS|38694.06345|38694.06345|0.0|38694.06345|38596.92187|38596.92187|0.0|0.0|0.0
2021-07|00000000000101359091|3MS|38642.03913|38642.03913|0.0|38694.06345|38694.06345|38694.06345|0.0|0.0|0.0
2021-08|00000000000101359091|3MS|39117.02032|39117.02032|0.0|39117.02032|38694.06345|38694.06345|0.0|0.0|0.0
2021-09|00000000000101359091|3MS|38270.01994|38270.01994|0.0|39117.02032|39117.02032|39117.02032|0.0|0.0|0.0
2021-10|00000000000101359091|3MS|0.0|0.0|0.0|39117.02032|39117.02032|39117.02032|0.0|0.0|0.0
2021-01|00002674368|NASHH|73668.663114|73668.663114|0.0|73668.663114|||0.0|0.0|0.0
2021-02|00002674368|NASHH|70610.534531|70610.534531|0.0|73668.663114|73668.663114|73668.663114|0.0|0.0|0.0
2021-03|00002674368|NASHH|69216.16825|69216.16825|0.0|73668.663114|73668.663114|73668.663114|0.0|0.0|0.0
2021-04|00002674368|NASHH|69222.97871|69222.97871|0.0|70610.534531|73668.663114|73668.663114|0.0|0.0|0.0
2021-05|00002674368|NASHH|68312.124632|68312.124632|0.0|69222.97871|70610.534531|70610.534531|0.0|0.0|0.0
2021-06|00002674368|NASHH|67741.755819|67741.755819|0.0|69222.97871|69222.97871|69222.97871|0.0|0.0|0.0
2021-07|00002674368|NASHH|67221.744881|67221.744881|0.0|68312.124632|69222.97871|69222.97871|0.0|0.0|0.0
2021-08|00002674368|NASHH|66349.290221|66349.290221|0.0|67741.755819|68312.124632|68312.124632|0.0|0.0|0.0
2021-09|00002674368|NASHH|64110.292802|64110.292802|0.0|67221.744881|67741.755819|67741.755819|0.0|0.0|0.0
2021-10|00002674368|NASHH|63532.235485|63532.235485|0.0|66349.290221|67221.744881|67221.744881|0.0|0.0|0.0
2021-01|000DAX60196|ALLNZ|158451.811264|158451.81126400002|-2.9103830456733704e-11|158451.811264|||0.0|0.0|0.0
2021-02|000DAX60196|ALLNZ|163237.141452|163237.141452|0.0|163237.141452|158451.811264|158451.811264|0.0|0.0|0.0
2021-03|000DAX60196|ALLNZ|166420.025709|166420.025709|0.0|166420.025709|163237.141452|163237.141452|0.0|0.0|0.0
2021-04|000DAX60196|ALLNZ|170556.080679|170556.080679|0.0|170556.080679|166420.025709|166420.025709|0.0|0.0|0.0
2021-05|000DAX60196|ALLNZ|171066.612791|171066.612791|0.0|171066.612791|170556.080679|170556.080679|0.0|0.0|0.0
2021-06|000DAX60196|ALLNZ|169727.735606|169727.735606|0.0|171066.612791|171066.612791|171066.612791|0.0|0.0|0.0
2021-07|000DAX60196|ALLNZ|167467.720196|167467.720196|0.0|171066.612791|171066.612791|171066.612791|0.0|0.0|0.0
2021-08|000DAX60196|ALLNZ|168926.090504|168926.090504|0.0|169727.735606|171066.612791|171066.612791|0.0|0.0|0.0
2021-09|000DAX60196|ALLNZ|161157.671054|161157.671054|0.0|168926.090504|169727.735606|169727.735606|0.0|0.0|0.0
2021-10|000DAX60196|ALLNZ|166217.921632|166217.921632|0.0|168926.090504|168926.090504|168926.090504|0.0|0.0|0.0
2021-01|001F2047533|WRLAE|53012.089488|53012.089488|0.0|53012.089488|||0.0|0.0|0.0
2021-02|001F2047533|WRLAE|54594.342036|54594.342036|0.0|54594.342036|53012.089488|53012.089488|0.0|0.0|0.0
